State	Grant Number	Fiscal Year	Element Name	Grant Status	Obligation Amount	Grant Type	Sponsor Name	Project Description	Park Name	Park County	Park CD.	Park Total Acres
AL 	996	2014 	PALISADES PARK ACQUISITION AND EXPANSION 	C 	30,000.00	A 	BLOUNT COUNTY COMMISSION 	Purchase 20 acres adjacent to the southeast portion of the existing Palisades Park property to expand the park. The additional property will be used for hiking, rock climbing, and bouldering. Scenic views along the bluff will be protected and enhance in the future. This property has a beautiful natural setting that has a variety of plants and wildlife that would enhance the existing park. 	BLOUNT COUNTY PALISADES PARK 	BLOUNT 	6	  100.0
AL 	997	2014 	BURNT CORN CREEK 	A 	50,000.00	D 	CITY OF BREWTON 	Develop and expand the City’s existing Burnt Corn Creek/Jennings Park, including the expansion of the existing gravel lake to ±10 acres for uses such as a paddle boarding and swimming. In addition, the project includes a comfort station and a zip line course. 	BURNT CORN CREEK-BREWTON CCC CAMP PARK 	ESCAMBIA 	1	  50.0
AL 	998	2014 	TUNNEL SPRINGS RAIL TRAIL 	A 	25,000.00	A 	MONROE COUNTY 	Acquire ± 7.42-mile of an abandoned railroad ROW to be used as a trail for cyclists, hikers, runners, and others. The rail trail will connect the communities of Peterman, Tunnel Springs, Beatrice, and Monroeville, all in Monroe County. 	TUNNEL SPRINGS RAIL TRAIL 	MONROE 	1	  90.0
AL 	999	2014 	CITY OF JASPER GEORGE LINDSAY DREAMFIELD PAVILION 	A 	29,696.46	R 	CITY OF JASPER 	Construct a pavilion with ADA compliant restrooms at the George Lindsey Dreamfield in Memorial Park. The project will provide a handicap accessible pavilion area including restrooms for participants and observers of the Lindsey Dream Field, which is a ball field for the physically challenged. 	MEMORIAL PARK 	Walker 	4	  39.0
AR 	816	2014 	CABOT SPORTS COMPLEX IMPROVEMENTS 	A 	143,750.00	D 	CITY OF CABOT 	Improve the Cabot Sports Complex by constructing pavilions and shade structures, batting cages and warm-up tunnels, and a playground plus installing field lighting for the largest ball field. 	CABOT SPORTS COMPLEX 	LONOKE 	1	  50.0
AR 	817	2014 	LITTLE ROCK ZOO - ARKANSAS FARM EXHIBIT 	A 	143,750.00	R 	CITY OF LITTLE ROCK 	Construct the Arkansas Farm Exhibit within the Little Rock Zoo, which will contain a children's playground. 	LITTLE ROCK ZOO 	Pulaski 	2	  33.0
AR 	818	2014 	HILARY JONES ELK EDUCATION CENTER DEVELOPMENT 	A 	271,460.91	D 	ARKANSAS GAME & FISH COMMISSION 	Develop the Hillary Jones ELK Education Center. The Center will contain restroom facilities, be universally accessible, and provide a staging area for groups. 	HILARY JONES ELK EDUCATION CENTER 	NEWTON 	3	  22.9
AZ 	741	2014 	ELECTRIFY RV CAMPSITES AT 3 STATE PARKS 	A 	750,000.00	D 	ARIZONA STATE PARKS 	Replacing 61 outdated electrical pedestals. 	BUCKSKIN MOUNTAIN STATE PARK	La Paz 	7	  1,676.6
AZ 	741	2014 	ELECTRIFY RV CAMPSITES AT 3 STATE PARKS 	A 		D 	ARIZONA STATE PARKS 	Replace 25 outdated electrical pedestals and add an additional 25 new electrical pedestals. 	CATALINA STATE PARK 	Pima 	8	  5,492.3
AZ 	741	2014 	ELECTRIFY RV CAMPSITES AT 3 STATE PARKS 	A 		D 	ARIZONA STATE PARKS 	Add 30 new electrical pedestals. 	LOST DUTCHMAN STATE PARK 	Pinal 	6	  297.0
AZ 	742	2014 	LAKE HAVASU STATE PARK SUPPORT FACILITIES 	A 	929,730.02	D 	ARIZONA STATE PARKS 	Construct 2 restroom buildings, 2 restroom/shower buildings, and 1 restroom/concession building. 	LAKE HAVASU STATE PARK 	Mohave 	2	  6,500.0
CA 	1,744	2014 	POINT PINOLE FISHING PIER IMPROVEMENTS 	C 	125,806.00	D 	EAST BAY REGIONAL PARK DISTRICT 	Fishing pier renovation, new ADA restroom constructed in place of old one, ADA parking and walkways to pier, picnic areas, drainage systems and other minor support amenities. 	POINT PINOLE REGIONAL SHORELINE 	Contra Costa 	0	  3,201.9
CA 	1,751	2014 	DUNLAP NEIGHBORHOOD PARK ACQUISITION 	A 	322,580.00	A 	CITY OF YUCAIPA 	Acquisition of approximately 5 acres of land for a neighborhood park. 	DUNLAP NEIGHBORHOOD PARK 	RIVERSIDE 	8	  5.0
CA 	1,756	2014 	FARMERSVILLE PARK DEVELOPMENT 	A 	322,581.00	D 	CITY OF FARMERSVILLE 	Construct a new approximately 1/2-mile walking trail loop and pedestrian bridge over an existing man-made irrigation canal with interpretive signange and trees, picnic areas with shade structures, and soccer field; and renovate existing baseball fields and restroom. 	FARMERSVILLE PARK 	TULARE 	22	  27.2
CA 	1,757	2014 	MENDOCINO WOODLANDS STATE PARK 	A 	2,150,538.00	R 	CA DEPARTMENT OF PARKS AND RECREATION 	Renovate wastewater systems. 	MENDOCINO WOODLANDS STATE PARK 	Mendocino 	2	  646.0
CA 	1,758	2014 	CASA VERDE PARK - TRAILS AND PLAYGROUNDS 	A 	268,817.00	D 	CITY OF UNION CITY 	Renovate an existing trail, playgrounds and sports courts. 	CASA VERDE PARK 	ALAMEDA 	15	  11.9
CA 	1,759	2014 	DEL VALLE CAMPGROUND RESTROOMS AND ACCESS 	A 	516,129.00	R 	EAST BAY REGIONAL PARK DISTRICT 	Replace dilapidated campground restroom/shower buildings at Campgrounds #10 & #20 with new prefabricated ADA compliant versions with ADA accessible routes. 	DEL VALLE REGIONAL PARK 	Alameda 	10	  5,000.0
CA 	1,760	2014 	UNITING THE HILLSIDE NATURAL AREA ACQUISITION 	C 	270,457.00	A 	CITY OF EL CERRITO 	Acquire ~8.08-acres to connect and expand existing park land. 	HILLSIDE NATURAL AREA 	CONTRA COSTA 	11	  102.5
CA 	1,761	2014 	MUELLER PARK BEAUTIFICATION 	C 	106,141.00	R 	CITY OF REEDLEY 	Construct a new walking trail connecting multiple existing recreational features, new picnic areas and renovate picnic pavilion; renovate existing playground including replacment shade structure; install new lighting; and renovate restroom. 	MUELLER PARK 	FRESNO 	21	  9.4
CA 	1,762	2014 	PANTERA PARK TRAIL ACCESS DEVELOPMENT 	A 	125,266.00	D 	CITY OF DIAMOND BAR 	Create new trail at Pantera Park. 	PANTERA PARK 	LOS ANGELES 	39	  79.9
CA 	1,763	2014 	YELLEN PARK CREATION PROJECT 	A 	2,117,877.00	D 	CITY OF PALMDALE 	Create the new Yellen Park. Construct a new multi-purpose field with lighting, adventure-themed playground, picnic areas, pathways and bikeways, restroom, site landscaping and irrigation, and parking lot. 	YELLEN PARK 	LOS ANGELES 	25	  24.9
CA 	1,764	2014 	VETERAN'S MEMORIAL PARK AMPHITHEATER 	A 	80,645.00	D 	CITY OF CHOWCHILLA 	Construct a new amphitheater stage at Veteran's Memorial Park. 	VETERAN'S MEMORIAL PARK 	MADERA 	4	  2.1
CA 	1,765	2014 	The Tracks at Brea Development 	A 	537,635.00	D 	CITY OF BREA 	Create the new Tracks at Brea Trail which will include construction of a new trail, landscaping, educational signage and benches. 	THE TRACKS AT BREA 	Orange 	0	  16.6
CA 	1,766	2014 	Noe Valley Town Square Park Development 	A 	799,509.00	D 	CITY AND COUNTY OF SAN FRANCISCO 	Create the new Noe Valley Town Square Park by installing a plaza, children's play area with site furnishings, lighting and landscaping. 	NOE VALLEY TOWN SQUARE PARK 	SAN FRANCISCO 	12	  0.3
CA 	1,767	2014 	SAN MIGUEL COMMUNITY PARK 	A 	537,635.00	D 	COUNTY OF SAN LUIS OBISPO 	Expand San Miguel Community Park and construct a new soccer/multi-use sports field and new park pathways. 	SAN MUGUEL COMMUNITY PARK 	MONTEREY 	20	  2.8
CA 	1,768	2014 	TUOLUMNE RIVER REGIONAL PARK GATEWAY 	A 	485,011.00	D 	CITY OF MODESTO 	Construct approximately 4,100 linear feet of trail, pedestrian bridge and fishing deck at Tuolumne River Regional Park. 	TUOLUMNE RIVER REGIONAL PARK 	Stanislaus 	18	  109.4
CA 	1,769	2014 	NEWMAN SKATE PLAZA DEVELOPMENT 	A 	186,356.00	D 	CITY OF NEWMAN 	Construct a new skate plaza at Lions Park. 	LIONS PARK 	STANISLAUS 	10	  6.0
CA 	1,770	2014 	RYNO PARK PLAYGROUND DEVELOPMENT 	C 	268,817.00	D 	CITY OF CERES 	Construct a new playground, picnic pavillion, and basketball court in Ryno Park. 	SAM RYNO PARK 	STANISLAUS 	10	  5.2
CA 	1,771	2014 	SEVENTH STREET PARK ACQUISITION 	A 	368,280.00	A 	CITY OF HUGHSON 	Acquire approximately 20 acres to create the new 7th Street Park. 	SEVENTH STREET PARK 	STANISLAUS 	10	  19.7
CA 	1,772	2014 	SOUTH REINWAY AVENUE RECREATIONAL PARK & TRAILHEAD 	A 	236,640.00	D 	CITY OF WATERFORD 	Create a new South Reinway Avenue Recreational Park and Trailhead. Project would include the construction of a new wildlife viewing platform and stairs, an access road, parking lot, restrooms, exercise stations, and a picnic area. 	SOUTH REINWAY AVENUE RECREATIONAL PARK 	STANISLAUS 	10	  15.5
CA 	1,773	2014 	ARROYO VISTA RECREATIONAL TRAIL 	A 	537,635.00	D 	CITY OF MOORPARK 	Construct a new pedestrain trail with fitness stations, a new bike trail, and new ADA pathways in Arroyo Vista Park. 	ARROYO VISTA PARK 	VENTURA 	26	  69.0
CA 	1,775	2014 	TEMESCAL FISHING PIER IMPROVEMENTS 	A 	193,548.00	R 	EAST BAY REGIONAL PARK DISTRICT 	Renovate two existing fishing piers, repair existing erosion protection around landing of a third pier, improve existing parking spaces, make ADA restroom improvements and construct ADA picnic area. 	TEMESCAL REGIONAL RECREATION AREA 	ALAMEDA 	11	  34.9
CO 	1,124	2014 	AHI MULTI TRAILS PROJECT 	A 	258,440.00	D 	BOULDER COUNTY 	Construct 5.2 miles of new trail located on the AHI Open Space Complex. 	AHI OPEN SPACE COMPLEX 	BOULDER 	2	  5.1
CO 	1,128	2014 	LYONS ST. VRAIN CORRIDOR TRAIL RECOVERY PROJECT 	A 	452,270.00	R 	TOWN OF LYONS 	Reconstruct the 0.96-mile Lyons St. Vrain Corridor trail, which was destroyed in a massive flood in September 2013, plus develop a 0.7-mile extension. 	ST. VRAIN CORRIDOR TRAIL 	BOULDER 	2	  4.9
CT 	465	2014 	ACQUISITION OF THE PRESERVE 	A 	1,400,000.00	A 	CONNECTICUT DEPT OF ENERGY & ENVT PROTECTION 	"The Preserve" is a 1,000+ acre parcel of land located in the Towns of Old Saybrook, Essex, and Westbrook in Middlesex County, close to the mouth of the Connecticut River. The CT DEEP will acquire 930 acres for passive recreation.  	THE PRESERVE 	MIDDLESEX 	2	  930.0
CT 	466	2014 	ACQUISITION OF THE SANER PROPERTY 	A 	684,408.91	A 	CONNECTICUT DEPT OF ENERGY & ENVT PROTECTION 	The Saner property is a 315-acre parcel of land located in the town of Marlborough. The acquisition of the property will create a physical connection between two forest blocks within the Blackledge River Watershed in the Salmon River State Forest and used for fishing, hunting, hiking, and passive recreation.  	SALMON RIVER STATE FOREST 	HARTFORD 	2	  315.0
DC 	103	2014 	FRANCIS PARK DOG PARK DEVELOPMENT 	A 	150,000.00	D 	DC DEPT OF PARKS AND RECREATION 	Develop a dog park area at existing Francis Park in the Foggy Bottom neighborhood. 	Francis Park 	DISTRICT OF COLUMBIA 	0	  0.3
DE 	194	2014 	Cape Henlopen State Park Campground Improvements 	A 	1,053,507.00	D 	Delaware Division of Parks and Recreation, DNREC 	Renovate and enhance the existing campground by constructing six primitive camping cabins; reconstructing existing campground Bathhouse #1; constructing new Bathhouse #3; and reconfiguring a row of existing campsites. 	Cape Henlopen State Park 	Sussex 	0	  3,462.2
FL 	616	2014 	HAMPTON PINES PARK IMPROVEMENTS 	A 	200,000.00	D 	CITY OF NORTH LAUDERDALE 	Develop a new off-road bike trail and renovate a pedestrian trail, floating dock, fencing, parking, lighting, landscaping and restroom 	HAMPTON PINES PARK 	BROWARD 	20	  16.0
FL 	617	2014 	BAGDAD MILL SITE TRAIL 	A 	200,000.00	D 	SANTA ROSA COUNTY 	Develop a new kayak launch area, trail historical signage, picnic facilities, boardwalk, fishing pier, landscaping, parking and lighting. 	BAGDAD MILL SITE TRAIL 	SANTA ROSA 	1	  18.0
FL 	618	2014 	PEPPER PARK RENOVATIONS 	A 	175,000.00	D 	ST. LUCIE COUNTY 	Renovate fishing piers, picnic pavilion and resurface the parking area of Pepper Park, located along the Atlantic Ocean and the Indian River Lagoon. 	PEPPER PARK  	Saint Lucie 	16	  155.0
FL 	619	2014 	LEGACY PARK 	A 	200,000.00	D 	CITY OF VENICE 	Develop an observation deck, picnic facility, kayak/canoe, horseshoe court and access road. 	LEGACY PARK 	SARASOTA 	13	  10.4
FL 	620	2014 	WOODLEA REGIONAL SPORTS COMPLEX EXPANSION 	A 	200,000.00	D 	CITY OF TAVARES 	Develop baseball fields, multi-purpose field, several access points to enter the park, and an abundance of parking to accommodate a variety of outdoor recreational activities. 	WOODLEA REGIONAL  	Lake 	5	  45.0
FL 	622	2014 	PAR 3 GOLF COURSE REDEVELOPMENT 	A 	200,000.00	D 	CITY OF MIAMI BEACH 	Convert a 9-hole golf course into a community park with new amenities including tennis courts, a splash pad, tot lot, nine parking spaces, restroom, sidewalks, irrigation, flowering tree groves, new retention lakes, grow-in activity, and landscaping. 	PAR 3 PLAYGROUND 	Miami-Dade 	20	19.4
FL 	623	2014 	LAKE IDAMERE PARK 	A 	200,000.00	D 	LAKE COUNTY 	This project will develop ADA-accessible ball field, picnic pavilion, mini track, shade structure, security lighting, parking and landscaping to provide children of all abilities the opportunity for physical exercise and camaraderie with other children. 	LAKE IDAMERE PARK	Lake 	8	45
FL 	624	2014 	KEATON BEACH COASTAL PARK 	A 	25,000.00	D 	TAYLOR COUNTY 	Development of a playground, unpaved nature and hiking trail, parking facilities, picnic pavilion, boardwalk and wildlife observation deck.	KEATON BEACH COASTAL PARK 	TAYLOR 	2	  45.2
FL 	625	2014 	MOCCASIN LAKE NATURE PARK 	A 	200,000.00	D 	CITY OF CLEARWATER 	Develop a playground, interpretive trail elements, construct a pier, reconstruct restrooms, renovate their interpretive center, renovate picnic facilities, and renovate parking. 	MOCCASIN LAKE NATURE PARK 	PINELLAS 	13	  52.0
FL 	626	2014 	PHIPPS PARK 	A 	200,000.00	D 	MARTIN COUNTY 	Develop new RV pad sites, an area for primitive camping, picnic facilities, new hiking trails, restroom/shower facilities, docks, landscaping, and fencing. Renovate existing hiking trails, boat ramp and dock, playground and restroom/shower facilities 	PHIPPS PARK 	MARTIN 	18	  55.0
FL 	627	2014 	CYPRESS CREEK NATURAL AREA TRAILS 	A 	200,000.00	D 	PALM BEACH COUNTY 	Develop fishing piers, wildlife observation platform, hiking trail, picnic facilities; renovate natural surface trail, bike trail, kayak/canoe launch, natural surface parking area, and install signage. 	CYPRESS CREEK NATURAL AREA 	PALM BEACH 	18	  191.0
FL 	628	2014 	ROUND LAKE PARK 	A 	200,000.00	D 	CITY OF OVIEDO 	Develop new tennis courts, picnic pavilion, and water access via hiking trails. The project will also renovate a fishing pier, basketball court, and existing tennis courts, and install new landscaping and security lighting. 	ROUND LAKE PARK	Seminole 	24	20
FL 	629	2014 	ACREAGE COMMUNITY PARK 	A 	200,000.00	D 	INDIAN TRAIL IMPROVEMENT DISTRICT 	Develop an outdoor amphitheater, fishing/nature observation pier, basketball court, water playground, kiosk, renovate picnic facility, multi-use trail, and parking.	ACREAGE COMMUNITY PARK  	Palm Beach 	18	  28.0
FL 	630	2014 	REITER PARK 	A 	200,000.00	D 	CITY OF LONGWOOD 	Develop a picnic facility, performance area, fishing pier, exercise facilities, and restrooms at this new park site.  	REITER PARK 	Seminole 	7	  6.9
FL 	631	2014 	VILLAGE COMMONS PARK 	A 	200,000.00	D 	VILLI\AGE OF ROYAL PALM BEACH 	Develop a dog park, disc golf course, multi-purpose trail, ADA kayak facilities, performance area lighting, and parking. Renovate picnic facilities. 	VILLAGE COMMONS PARK 	Palm Beach 	16	  20.0
FL 	632	2014 	TORCASO PARK 	A 	200,000.00	D 	CITY OF WINTER SPRINGS 	Develop a full-size basketball court, picnic pavilion, and multi-purpose trail; renovate a playground, fishing pier, playground multi-purpose trails, children’s water splash play facility, and parking area.  	TORCASO PARK 	SEMINOLE 	7	  17.0
